iter	Logloss
0	0.6477633381
1	0.6118421036
2	0.5845209263
3	0.5604196287
4	0.5323814331
5	0.5090035269
6	0.4841266783
7	0.4527874455
8	0.4367623291
9	0.4199747112
10	0.4029048018
11	0.3884388211
12	0.3767333623
13	0.3657416757
14	0.3549347933
15	0.3445961766
16	0.3365844811
17	0.3287701797
18	0.3161304388
19	0.3065779599
20	0.29985
21	0.2912863124
22	0.2866088272
23	0.2782796539
24	0.2730498196
25	0.2668733325
26	0.2622373101
27	0.2581840476
28	0.2536526752
29	0.2470263687
30	0.244159149
31	0.2399135722
32	0.2363597002
33	0.2336751188
34	0.2296018636
35	0.2254064117
36	0.2228583861
37	0.2175345591
38	0.2129982486
39	0.2099158832
40	0.2048995066
41	0.2017185882
42	0.1966642607
43	0.1936814535
44	0.1914825582
45	0.1890843826
46	0.1865234437
47	0.1836704449
48	0.1819011085
49	0.1794871708
50	0.1774179702
51	0.1744123245
52	0.1708812119
53	0.1676322368
54	0.1647298775
55	0.1632460701
56	0.1615117567
57	0.1593591999
58	0.1570295853
59	0.1548197928
60	0.1525139641
61	0.1495931519
62	0.1473979628
63	0.1461302881
64	0.1438765318
65	0.1418013631
66	0.1398484037
67	0.1377535991
68	0.1358698346
69	0.1340214877
70	0.132109705
71	0.1307522877
72	0.1290549872
73	0.1271031637
74	0.125821918
75	0.124083755
76	0.122729452
77	0.1212213735
78	0.119684499
79	0.1182792042
80	0.1168813883
81	0.1155676336
82	0.1143695165
83	0.1127707033
84	0.1108618569
85	0.1094799887
86	0.1082549891
87	0.1071918217
88	0.1062157825
89	0.1050955353
90	0.1040987368
91	0.1030199557
92	0.1018242199
93	0.1008825452
94	0.09991231631
95	0.09906873324
96	0.09800216218
97	0.09690000364
98	0.09609151342
99	0.09462586311
