iter	Passed	Remaining
0	58	5767
1	58	2873
2	59	1908
3	59	1425
4	59	1137
5	60	943
6	60	804
7	60	697
8	60	616
9	61	551
10	61	498
11	62	454
12	62	417
13	62	384
14	62	356
15	63	331
16	63	309
17	63	290
18	64	272
19	64	256
20	64	242
21	64	229
22	65	217
23	65	206
24	65	197
25	66	187
26	67	181
27	67	173
28	67	166
29	68	159
30	68	152
31	68	146
32	69	140
33	69	134
34	69	129
35	69	124
36	70	119
37	70	115
38	70	110
39	71	106
40	71	102
41	71	99
42	72	95
43	72	92
44	73	89
45	74	87
46	74	84
47	74	81
48	75	78
49	75	75
50	75	72
51	75	70
52	76	67
53	76	65
54	76	62
55	77	60
56	77	58
57	77	56
58	78	54
59	78	52
60	78	50
61	78	48
62	79	46
63	79	44
64	79	42
65	80	41
66	80	39
67	80	37
68	80	36
69	81	34
70	81	33
71	81	31
72	82	30
73	82	29
74	82	27
75	83	26
76	83	24
77	83	23
78	83	22
79	84	21
80	84	19
81	84	18
82	84	17
83	85	16
84	85	15
85	85	13
86	86	12
87	86	11
88	87	10
89	87	9
90	88	8
91	88	7
92	88	6
93	89	5
94	89	4
95	89	3
96	90	2
97	90	1
98	90	0
99	90	0
